REF_SKU;AVAILABLE;PREORDER;PRODUCT_FREE;PRODUCT_SHIP;PRODUCT_VIRTUAL;SKU;MANUFACTURER;PRODUCT_WEIGHT;PRODUCT_ITEM_WEIGHT;PRODUCT_HEIGHT;PRODUCT_LENGTH;PRODUCT_WIDTH;CATEGORY;FREE_SHIPPING;QUANTITY;QUANTITY_ORD_MIN;QUANTITY_ORD_MAX;NAME;DESCRIPTION;PRODUCT_PRICE_AMOUNT;PRODUCT_PRICE_SPECIAL_AMOUNT;PRODUCT_PRICE_SPECIAL_ST_DATE;PRODUCT_PRICE_SPECIAL_END_DATE;META_TAGS;MINIMUM_INCREASE
892449;false;;;;;892449;GERMANY;;;;;;F09;;1;1;100000;ROMANA PESCADITO GERMANY 150kg;"<p>ROMANA PESCADITO GERMANY 150kg&nbsp;</p>";111900;;;;ROMANA PESCADITO GERMANY,GERMANY,ROMANA;1
845812;true;;;;;845812;DELTA PLUS;;;;;;113;;1;1;100000;CABO VIDA CINTA 2MT ESLINGAR 1020-A;"<p><strong>Largo máximo (m) :</strong>&nbsp;1,5 m</p>
<p><strong>Ancho de la cinta (mm) :</strong>&nbsp;45 mm</p>
<p><strong>Largo mínimo (m) :</strong>&nbsp;1,2 m</p>
<p><strong>Con conector :</strong>&nbsp;Sí</p>
<p><strong>Conector (lado usuario) :</strong>&nbsp;Mosquetón de acero con abertura de 18 mm</p>
<p><strong>Conector (lado estructura) :</strong>&nbsp;Mosquetón de acero con abertura de 55 mm</p>
<p><strong>Vida útil desde la fabricación (años) :</strong>&nbsp;10</p>
<p><strong>Tipo de envase :</strong>&nbsp;Caja de 5</p>
<p><strong>Color :</strong>&nbsp;Black - Naranja</p>";178000;;;;DELTA PLUS,ESLINGAR,CABO VIDA CINTA,CABO;1
M05106;true;;;;;M05106;MOR;;;;;;709;;1;1;100000;ESCALERA DOMÉSTICA MOR ALUMINIO 8 PELDAÑOS;"<p>MATERIAL:&nbsp; &nbsp; &nbsp;Aluminio<br>CAPACIDAD:&nbsp; 120 kg<br>ALTURA:&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;2,22 metros<br>ANCHO:&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 51,00 centímetros<br>LONGITUD: &nbsp; &nbsp;1,13 metros<br>PESO:&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;5,63 kilogramos</p>";369000;;;;ESCALERA,ESCALERA DOMESTICA,MOR,ESCALERA DE ALUMINIO,ESCALERA MOR,ESCALERAS MOR,ESCALERAS DE ALUMINIO,ESCALERA MOR 8 PELDAÑOS,ESCALERA DOMESTICA DE ALUMINIO,ESCALERA DE 8 PELDAÑOS,ESCALERAS,ESCALERA 8 PELDAÑOS;1
892447;false;;;;;892447;GERMANY;;;;;;F09;;1;1;100000;ROMANA PESCADITO GERMANY  50kg;"<p>ROMANA PESCADITO GERMANY &nbsp;50kg</p>";63900;;;;ROMANA PESCADITO GERMANY,GERMANY,ROMANA;1
892391;false;;;;;892391;GERMANY;;;;;;F09;;1;1;100000;MOSQUETON BRUÑIDO GERMANY 70MM;<p>MOSQUETON BRUÑIDO GERMANY 70MM</p>;3960;;;;MOSQUETON BRUÑIDO GERMANY,GERMANY,MOSQUETON BRUÑIDO,MOSQUETON;1
845823;true;;;;;845823;DELTA PLUS;;;;;;113;;1;1;100000;CINTURON POSICIONAMIENTO ESLINGAR 192;<p>CINTURON POSICIONAMIENTO ESLINGAR 192</p>;231000;;;;DELTA PLUS,ESLINGAR,CINTURON POSICIONAMIENTO,POSICIONAMIENTO;1
961325;true;;;;;961325;3M;;;;;;E02;;1;1;100000;CINTA AISLAD.3M  155 Negro  18mt;<p>• Cinta aislante de vinil para tareas cotidianas<br>• Proporciona protección eléctrica y mecánica<br>• Soporta un rango de temperatura de 32°F (0°C) a 176°F (80°C)<br>• Resistencia a la abrasión, humedad, álcalis, ácidos, corrosión del cobre y variadas condiciones climáticas<br>• 19mm x 18m</p>;7900;;;;CINTAS,AISLADORA,3M,CINTA AISLADORA 3M,CINTA AISLADORA NEGRO,TEMFLEX;1
892012;false;;;;;892012;GERMANY;;;;;;F09;;1;1;100000;HOJA PARA CEPILLADORA GERMANY 400MM;<p>HOJA PARA CEPILLADORA GERMANY 400MM</p>;97600;;;;HOJA PARA CEPILLADORA GERMANY,GERMANY,HOJA;1
892106;false;;;;;892106;PRESSOL;;;;;;721;;1;1;100000;ACEITERA FLEXIBLE  PRESSOL 250CC;"<p>ACEITERA FLEXIBLE &nbsp;PRESSOL 250CC</p>";51100;;;;ACEITERA FLEXIBLE PRESSOL,GERMANY,PRESSOL,ACEITERA;1
845873;true;;;;;845873;DELTA PLUS;;;;;;113;;1;1;100000;ESLINGA 1TN 50MM x 3MT ESLINGAR;<p>ESLINGA 1TN 50MM x 3MT ESLINGAR</p>;97100;;;;DELTA PLUS,ESLINGAR,ESLINGA;1
8458852;true;;;;;8458852;DELTA PLUS;;;;;;113;;1;1;100000;ESLINGA 4T 100MM x 2MT ESLINGAR;<p>ESLINGA 4T 100MM x 2MT ESLINGAR</p>;243000;;;;DELTA PLUS,ESLINGAR,ESLINGA;1
I66640;true;;;;;I66640;INTEX;;;;;;502;;1;1;100000;INFLADOR PARA PISCINAS Y COLCHONES INTEX 220V;"<ul>
<li>Bomba eléctrica QUICK-FILL INTEX, doble función: hincha y deshincha,capacidad: 650 litros/hora</li>
<li>Con cable para la corriente (220V), habilitado para un uso interior o zonas con toma de corriente eléctrica</li>
<li>Incluye 3 boquillas de interconexión a cualquier tipo de válvula con sistema antipérdida</li>
<li>Sistema de seguridad incorporado: se apaga automáticamente al alcanzar el límite de inflado</li>
<li>Diseño ligero, ideal para inflar y desinflar hinchables de gran tamaño en pocos minutos</li>
</ul>";83300;;;;INFLADOR,INFLADOR ELECTRICO,INFLADOR PARA PISCINAS,INTEX,INFLADORES INTEX,INFLADOR ELECTRICO INTEX,INFLADOR PARA COLCHON,INFLADOR PARA PISCINA;1
892110;false;;;;;892110;GERMANY;;;;;;721;;1;1;100000;ENGRASADOR NEUMATICO PRESSOL;<p>ENGRASADOR NEUMATICO PRESSOL</p>;451000;;;;ENGRASADOR NEUMATICO PRESSOL,PRESSOL,ENGRASADOR NEUMATICO;1
892107;false;;;;;892107;PRESSOL;;;;;;721;;1;1;100000;ACEITERA FLEXIBLE  PRESSOL 500CC;"<p>ACEITERA FLEXIBLE &nbsp;PRESSOL 500CC</p>";62000;;;;ACEITERA FLEXIBLE PRESSOL,GERMANY,PRESSOL,ACEITERA;1
892393;false;;;;;892393;GERMANY;;;;;;F09;;1;1;100000;MOSQUETON BRUÑIDO GERMANY 90MM;<p>MOSQUETON BRUÑIDO GERMANY 90MM</p>;8100;;;;MOSQUETON BRUÑIDO GERMANY,GERMANY,MOSQUETON BRUÑIDO,MOSQUETON;1
